ID client,Nom,Edat,Gènere,Perfil de viatge,Preferències comercials,Interacció habitual,Historial d’usos
0001,Domingo Baró,68,M,Altres,"Cuina ràpida, Premsa i llibres",Només consulta horaris i ubicacions,3 consultes a vehicles
0002,Jessica Naranjo,37,F,Altres,"Productes naturals, Mediterrània",Respon a ofertes de llibres,"3 consultes a cafeteries, 4 consultes a llibres, 5 consultes a botigues"
0003,Maxi Larrañaga,63,M,Negocis,"Cuina ràpida, Cafeteria, Productes naturals",Respon a ofertes de llibres,"2 consultes a llibres, 2 consultes a botigues"
0004,Emiliana Iniesta,62,F,Altres,"Productes naturals, Cuina italiana",Ignora promocions,3 consultes a botigues
0005,Hilario Alberdi,54,M,Família,Cafeteria,Ignora promocions,"2 consultes a botigues, 2 consultes a llibres, 5 consultes a restaurants"
0006,Calista Jordá,49,F,Altres,Mediterrània,Accepta ofertes de menjar,2 consultes a llibres
0007,Ciríaco Riquelme,54,M,Turisme,Mediterrània,Segueix suggeriments personalitzats,"3 consultes a llibres, 4 consultes a botigues"
0008,Juan Francisco Marcos,48,M,Negocis,"Cuina ràpida, Mediterrània",Respon a ofertes de llibres,2 consultes a vehicles
0009,Narcisa Salgado,23,F,Turisme,"Moda, Perfumeria",Segueix suggeriments personalitzats,"2 consultes a vehicles, 5 consultes a cafeteries, 3 consultes a restaurants"
0010,Amalia Alcalde,40,F,Altres,Cafeteria,Segueix suggeriments personalitzats,"4 consultes a cafeteries, 2 consultes a vehicles, 3 consultes a restaurants"
0011,Rosendo Batlle,43,M,Turisme,"Mediterrània, Premsa i llibres",Ignora promocions,"5 consultes a cafeteries, 5 consultes a botigues, 3 consultes a llibres"
0012,Jonatan Benavides,48,M,Negocis,"Productes naturals, Mediterrània",Ignora promocions,"2 consultes a llibres, 4 consultes a cafeteries"
0013,Mariana Palau,42,F,Altres,"Cafeteria, Premsa i llibres, Cuina italiana",Ignora promocions,1 consulta a vehicles
0014,Celia Ródenas,29,F,Altres,"Cuina italiana, Moda, Premsa i llibres",Accepta ofertes de menjar,"1 consulta a vehicles, 3 consultes a cafeteries, 5 consultes a restaurants"
0015,Angelina Pozo,45,F,Altres,Cuina ràpida,Segueix suggeriments personalitzats,2 consultes a llibres
0016,Javi Dominguez,61,M,Negocis,Cafeteria,Respon a ofertes de llibres,"3 consultes a llibres, 4 consultes a cafeteries, 3 consultes a botigues"
0017,Manu Villa,31,F,Negocis,Moda,Segueix suggeriments personalitzats,"5 consultes a vehicles, 2 consultes a restaurants"
0018,Sigfrido Folch,49,M,Família,Cuina italiana,Respon a ofertes de llibres,"5 consultes a cafeteries, 4 consultes a llibres, 1 consulta a botigues"
0019,Rosalía Ayllón,60,F,Altres,"Cafeteria, Cuina ràpida",Només consulta horaris i ubicacions,2 consultes a cafeteries
0020,Selena Agustí,24,F,Turisme,"Cuina ràpida, Cafeteria, Premsa i llibres",Segueix suggeriments personalitzats,"3 consultes a botigues, 3 consultes a cafeteries"
0021,Hector Cañas,59,M,Altres,"Perfumeria, Cuina ràpida, Cuina italiana",Ignora promocions,"3 consultes a cafeteries, 3 consultes a restaurants, 4 consultes a llibres"
0022,Félix Sotelo,50,M,Altres,"Productes naturals, Premsa i llibres",Respon a ofertes de llibres,"4 consultes a llibres, 4 consultes a cafeteries, 1 consulta a vehicles"
0023,Lupe Carbonell,67,M,Altres,"Cuina italiana, Cuina ràpida",Segueix suggeriments personalitzats,"3 consultes a botigues, 4 consultes a cafeteries, 3 consultes a llibres"
0024,Ramón Fuster,37,M,Família,"Premsa i llibres, Cuina ràpida",Respon a ofertes de llibres,"3 consultes a botigues, 1 consulta a restaurants, 4 consultes a vehicles"
0025,Emma Sevillano,52,F,Turisme,Productes naturals,Respon a ofertes de llibres,3 consultes a vehicles
0026,Isidoro Gracia,65,M,Negocis,"Premsa i llibres, Moda, Cafeteria",Respon a ofertes de llibres,2 consultes a vehicles
0027,Reinaldo Valverde,65,M,Turisme,"Cuina italiana, Premsa i llibres",Ignora promocions,"4 consultes a cafeteries, 4 consultes a vehicles"
0028,Amalia Torres,27,F,Família,Premsa i llibres,Segueix suggeriments personalitzats,"3 consultes a restaurants, 5 consultes a botigues, 5 consultes a llibres"
0029,Aníbal Ros,75,M,Negocis,"Premsa i llibres, Cafeteria",Respon a ofertes de llibres,"5 consultes a cafeteries, 1 consulta a vehicles"
0030,Josefa Corbacho,28,F,Negocis,"Premsa i llibres, Perfumeria",Només consulta horaris i ubicacions,"4 consultes a cafeteries, 5 consultes a vehicles, 3 consultes a restaurants"
0031,Jordán Jaén,22,M,Altres,"Mediterrània, Cuina ràpida, Perfumeria",Ignora promocions,"3 consultes a cafeteries, 5 consultes a vehicles"
0032,Basilio Lara,70,M,Altres,"Cuina ràpida, Cafeteria, Mediterrània",Respon a ofertes de llibres,"5 consultes a restaurants, 1 consulta a cafeteries, 4 consultes a llibres"
0033,Gonzalo Polo,33,M,Altres,Cuina ràpida,Accepta ofertes de menjar,2 consultes a llibres
0034,Juan Carlos Hernández,61,M,Altres,"Mediterrània, Moda",Accepta ofertes de menjar,1 consulta a botigues
0035,Juana Barrios,36,F,Turisme,"Moda, Mediterrània",Accepta ofertes de menjar,"5 consultes a cafeteries, 5 consultes a botigues"
0036,Calixto Blazquez,67,M,Turisme,"Premsa i llibres, Cuina ràpida, Perfumeria",Ignora promocions,"2 consultes a restaurants, 1 consulta a botigues"
0037,Nazaret Casas,56,M,Negocis,"Mediterrània, Moda",Segueix suggeriments personalitzats,2 consultes a botigues
0038,Blanca Garcia,32,F,Altres,"Premsa i llibres, Moda",Respon a ofertes de llibres,"2 consultes a restaurants, 1 consulta a llibres, 2 consultes a botigues"
0039,Mohamed Chamorro,59,M,Negocis,"Moda, Cafeteria, Premsa i llibres",Respon a ofertes de llibres,"5 consultes a vehicles, 4 consultes a cafeteries"
0040,Leopoldo Gomis,68,M,Família,"Perfumeria, Cuina ràpida, Moda",Només consulta horaris i ubicacions,"5 consultes a cafeteries, 4 consultes a restaurants"
0041,Teodoro Escolano,38,M,Turisme,"Perfumeria, Moda, Cafeteria",Respon a ofertes de llibres,4 consultes a botigues
0042,Nuria Tello,19,F,Negocis,"Cuina italiana, Cuina ràpida, Mediterrània",Accepta ofertes de menjar,"1 consulta a botigues, 5 consultes a restaurants, 2 consultes a llibres"
0043,Ruth Morán,62,F,Família,"Moda, Cafeteria",Respon a ofertes de llibres,"2 consultes a vehicles, 1 consulta a restaurants"
0044,África Jara,72,F,Altres,Cuina ràpida,Només consulta horaris i ubicacions,"3 consultes a vehicles, 1 consulta a botigues"
0045,Irene Villegas,36,F,Altres,Cuina ràpida,Respon a ofertes de llibres,"1 consulta a cafeteries, 1 consulta a vehicles, 2 consultes a restaurants"
0046,Victor Manuel Márquez,36,M,Família,"Cuina ràpida, Mediterrània",Ignora promocions,2 consultes a botigues
0047,Eduardo Donoso,44,M,Altres,Moda,Respon a ofertes de llibres,5 consultes a cafeteries
0048,Román Saez,41,M,Turisme,"Productes naturals, Cafeteria",Segueix suggeriments personalitzats,"4 consultes a restaurants, 1 consulta a vehicles"
0049,Dani Barbero,23,M,Família,"Moda, Perfumeria, Cafeteria",Ignora promocions,1 consulta a restaurants
0050,Leocadia Ferrer,69,F,Turisme,Cafeteria,Ignora promocions,"5 consultes a restaurants, 4 consultes a cafeteries"
0051,Reyes Anaya,52,M,Negocis,"Premsa i llibres, Cuina italiana",Segueix suggeriments personalitzats,3 consultes a vehicles
0052,América Losa,28,F,Negocis,"Cafeteria, Productes naturals",Accepta ofertes de menjar,2 consultes a cafeteries
0053,Severino Gras,47,M,Negocis,Cuina italiana,Respon a ofertes de llibres,"5 consultes a vehicles, 4 consultes a restaurants, 4 consultes a llibres"
0054,Aránzazu Núñez,54,F,Turisme,"Premsa i llibres, Cuina ràpida, Perfumeria",Respon a ofertes de llibres,2 consultes a botigues
0055,Herberto Beltrán,19,M,Turisme,"Cuina ràpida, Perfumeria",Accepta ofertes de menjar,"3 consultes a llibres, 1 consulta a vehicles"
0056,María Vendrell,58,F,Família,"Moda, Cafeteria",Accepta ofertes de menjar,"4 consultes a vehicles, 2 consultes a restaurants, 2 consultes a botigues"
0057,Edmundo Macías,74,M,Negocis,"Mediterrània, Cuina ràpida, Perfumeria",Respon a ofertes de llibres,"3 consultes a restaurants, 3 consultes a llibres"
0058,Laura Arnau,51,F,Turisme,Cuina italiana,Ignora promocions,5 consultes a restaurants
0059,Calixta Pablo,20,F,Turisme,"Moda, Mediterrània",Segueix suggeriments personalitzats,"4 consultes a botigues, 4 consultes a vehicles, 2 consultes a cafeteries"
0060,Cristina Pedrero,34,F,Negocis,"Cuina italiana, Perfumeria",Ignora promocions,"5 consultes a llibres, 2 consultes a botigues, 3 consultes a restaurants"
0061,Otilia Céspedes,71,F,Família,"Perfumeria, Cuina ràpida, Premsa i llibres",Respon a ofertes de llibres,"1 consulta a cafeteries, 1 consulta a botigues"
0062,Eufemia Marqués,22,F,Família,"Premsa i llibres, Mediterrània, Productes naturals",Segueix suggeriments personalitzats,"4 consultes a vehicles, 1 consulta a cafeteries, 2 consultes a botigues"
0063,Piedad Isern,50,F,Turisme,"Cuina ràpida, Productes naturals, Cafeteria",Ignora promocions,3 consultes a vehicles
0064,Susana Tejero,18,F,Família,"Cuina ràpida, Mediterrània, Cafeteria",Segueix suggeriments personalitzats,"3 consultes a vehicles, 5 consultes a restaurants"
0065,Jordana Corral,73,F,Turisme,Productes naturals,Accepta ofertes de menjar,3 consultes a cafeteries
0066,Luis Miguel Galván,74,M,Família,Premsa i llibres,Respon a ofertes de llibres,"2 consultes a restaurants, 3 consultes a llibres"
0067,Elisabet Ibañez,47,F,Altres,Productes naturals,Només consulta horaris i ubicacions,"1 consulta a restaurants, 4 consultes a botigues"
0068,Zaira Aguirre,24,F,Altres,Mediterrània,Segueix suggeriments personalitzats,"1 consulta a restaurants, 4 consultes a botigues, 1 consulta a vehicles"
0069,Nico Vendrell,48,M,Família,"Premsa i llibres, Cuina ràpida",Ignora promocions,"2 consultes a botigues, 1 consulta a restaurants"
